Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_MMOP,SQ_ACTIVE_INST_MMOP,SQ_INSTS_VALU,SQ_ACTIVE_INST_VALU,SQ_WAVES,DispatchNs,BeginNs,EndNs,CompleteNs
81,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,107,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298746090758,2875298746613079,2875298746640119,2875298746639813
83,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,111,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298746982206,2875298747518838,2875298747545558,2875298747545261
85,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,115,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298747900724,2875298748492918,2875298748520118,2875298748520320
87,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,119,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298748871543,2875298749398357,2875298749425557,2875298749425198
89,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,123,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298749787902,2875298750339316,2875298750369236,2875298750376917
91,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,127,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298750722600,2875298751243636,2875298751270836,2875298751270615
93,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,131,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298751615798,2875298752134995,2875298752162835,2875298752168453
95,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,135,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298752506607,2875298753032754,2875298753059634,2875298753059292
97,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,139,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298753413485,2875298753929074,2875298753955634,2875298753955440
99,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,143,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298754313523,2875298754836913,2875298754863473,2875298754863238
101,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,147,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298755219941,2875298755738512,2875298755766352,2875298755766006
103,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,151,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298756111450,2875298756642032,2875298756671952,2875298756671725
105,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,155,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298757026358,2875298757539311,2875298757568911,2875298757568733
107,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,159,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298757929216,2875298758447470,2875298758474670,2875298758474551
109,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,163,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298758823164,2875298759338350,2875298759365390,2875298759365139
111,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,167,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298759708062,2875298760263469,2875298760290349,2875298760289988
113,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,171,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298760637151,2875298761135788,2875298761165228,2875298761170386
